OriginalTweet,clean_text,Sentiment,length
"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",study show like live nine day hard surface like metal plastic glass deputy commissioner consumer affair mary barzee flores show keep clean gas pump watch share,2,159
"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",people starting become frightened many shelf meanwhile turn empty sold amp disinfection liquid sold sold exorbitant price,0,121
"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",think credit debit good come combating keep mind not contactless transaction many people grocery store gas station touch keypad every day,2,137
Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,control stock gold lost gold coming back nicely love wallbridge balmoral warns listener sprott money ltd recently put money ocg genm mmg many,2,141
"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",seller cashing panic sell facemasks sanitizers super inflated price reality neither sanitizer facemasks must save please watch video,2,132
"Canada'sÂ oilpatch is bracing for the impact of plunging crude prices afterÂ OPEC and its allies failed to reach a deal aimed at cutting production as economies slow becauseÂ of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",canada oilpatch bracing impact plunging crude price opec ally failed reach deal aimed cutting production economy slow novel fool jkenney based budget hired oil price,0,165
"Alright yÂall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? IÂve had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",alright hope melanin prevails case took precaution food amp water delivered mask month may open soon,2,100
When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,usual grocery shopping woolworth turn toilet paper fight supermarket aisle yikes taken whole new level,0,102
"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19Â Â USA TODAY

'It's pandemonium': virus panic-buying hits Los AngelesÂ Â Yahoo News

How Costco is HaÂ https://t.co/MyTDpDomEI",coronavirus panic spread costco pulling free sample covid usa today coronavirus panic spread costco pulling free sample covid usa today pandemonium virus panic buying hit los angeles yahoo news costco ha,0,203
"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",stocking waiting quarantine forget donate food water toiletry local food bank help others without mean stock get ahead becomes crisis,0,133
"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",exposure hole social safety net say nelp government affair director judy conti,2,78
"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",two important phone number nyers know doctor insurance think may sick need tested call state helpline report price gouging call div consumer protection,0,151
"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",tip pro wrestler help combat like zoelucaspro bring hand sanitizer match precaution prowrestlingeve,2,99
"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",effective necessary optic scare tactic american consumer u msm use optic intended effect fear crash u market gt panic gt elect biden,0,132
"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",imho russia rug pull oil price designed end dollar global reserve currency corp debt collapse led high yield fracking compounded covid mean fed u govt respond ciao dollar alt collapse got yet,0,191
So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,not due gt gt supermarket begin wave fuelled panic buying,1,57
"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",remember medium deflection story bog roll panic buying food shortage covid irish bridge etc etc still got brexit austerity poverty crashing economy amp worst uk govt living memory depressing stuff amp aint gonna end well,0,220
"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",fellow uni instructor covid f f class cancelations inconvenient remember salaried employee maybe call email hr union amp demand know hourly worker clerical food service custodial etc compensated campus closure,0,209
"@howroute ItÂs not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",howroute not even food actual heck news people need food water need paper wipe sayin,1,84
"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",part soap work well sars cov coronavirus indeed virus self assembled nanoparticle weakest link lipid fatty bilayer two part thread soap virus supramolecular chemistry,0,166
"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnÂt care and wonÂt help, so theyÂre protecting their families their way. ItÂs a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",thread please stop shaming folk stock food personal care product ahead made clear care help protecting family way tiny bit mastery control terrifying time,2,154
"For those thinking #seniors #disabled &amp; #vets shouldnÂt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",thinking amp included realdonaldtrump aid package check price antibacterial soap disinfectant safer transportation crowded city bus list go senstabenow rashidatlaib,2,164
"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnÂt just wrong, itÂs illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",far pennsylvanian reached office report inflated price everything disinfectant spray liquid soap price gouging like wrong illegal keep email coming pricegouging attorneygeneral gov,0,180
"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",global stock market continued bear run amp p plunged opened monday plunge largely back overnight slump price along persistent concern impact global,1,147
Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,scammer taking advantage fear surrounding tip help keep scammer bay,2,67
"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todayÂs exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",business international market exportdevcanada webinar show navigate today exporting challenge rising commodity price due covid virus,2,132
"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",gig economy earn ppl going immediately process refund earned income tax credit child tax credit borrow credit cash help make end meet normal consumer behavior return,2,165
"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",instructed insurance company make covid testing free important step help ensure cost barrier not stand way people getting tested read,2,133
The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,oil price dipping absolutely nothing everything talk collapsing saudi feuding russia celebrate calm hell weirdo,0,111
"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",global stock plummeted today due fear surrounding falling oil price saw biggest one day drop since gulf war let look major stock index reacting news based closing value,0,168
"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",beginning global recession damaging health crisis price falling u stock falling drop morning amp trading halt crisis eu border amp skyrocketing rent tenant losing income,0,169
"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recessionÂ, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",newssydney scottmorrisonmp factor bought recession ignoring per caput recession wage growth stagnant consumer debt level roof casualized work change economy driven government not,0,178
"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80Â¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",cuomo press conference new york releasing new brand state made sanitizer price gallon,1,85
"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19) Â online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",ignore online offer currently vaccine pill potion lotion lozenge prescription counter product available treat cure disease covid online store ftc tip,0,149
"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",lucky enough sitting home enough food get period self isolation please consider donating trusselltrust help stock even wanted,2,125
"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",thehill american need take upon help avoid contracting covid prep self quarantine wks stop unnecessary travel crowd gathering talk employer proceed w harm career plan sch,0,170
"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",realdonaldtrump separate table u corna virus statistic high stats corona virus u government inability control corona virus high price disinfectant gel usa high price mask usa food price rising day day,0,200
"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",shortage believe everything see tv costco,0,41
"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",come guy please like bob,2,24
"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",booked ticket event part package holiday offered alternative refund travel provider cancelled due check abta consumer q amp,2,123
"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
https://t.co/fc8imQ7TAR",breaking new jersey official urge resident stock two week quarantine case,1,73
"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",russia lng also suffer irony spot lng price already record low declaration force majeure chinese company contracted lng became way make money oil price collapsed big hit,0,169
#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,watched closely spin web know american value wiping as citizen rush buy toilet paper neglect stock food terrorist holding factory hostage film,0,142
"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication https://t.co/BDIedMNksK",novel continues spread worldwide impact international business operation supply chain travel commodity price consumer confidence business forecast becoming increasingly acute,2,174
"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",lower price lower sort fiscal great consumer problem problem fear fear quarantined day people stopped traveling not interest rate tax,0,133
Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,consumer increased online shopping due coronavirus,2,50
"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",self indulging thought food medicine essential household good stock piling like people universal credit stock piling ffs,0,120
"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",ok nothing panic italy imposing biggest restriction civilian population since ww supermarket able provide food worker told stay home bussiness,2,142
"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",trump said people must vigilant concluded calm really working lot good thing going happen consumer ready consumer powerful country done tax cut regulation cut thing,2,164
"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peopleÂs minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",top food item stock case quarantined home stay people mind ten food stocking pantry support physical mental health,2,114
"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",hi please support local chinese restaurant amp order delicious food really struggling panic many let staff go favs sweetmandarin amp blueeyedpandam thank,2,153
Report any and all instances of price gouging or other COVID-19 scams to the Attorney GeneralÂs Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,report instance price gouging covid scam attorney general consumer protection hotline online,0,92
"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",russia breaking rank opec signalled intent take nemesis american oil gas industry steeped market least favorite thing uncertainty time succeed low oil price last long,2,166
"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",expert talk significant decrease traffic due check article,2,58
Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,met member distributive trade today examine preparation impact covid based report key manufacturer importer least mths stock therefore not expect shortage critical food item,0,173
"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/GnLgWqxpjl https://t.co/cCKvA2ktQ4",say need stock couple week tip get properly store item,1,54
"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who canÂt stock up on weeks worth of food. Folks who canÂt NOT work. 

The working poor will suffer most",genuine concern around folk may isolate work low wage hourly pay job folk barely getting dont get paid sick day folk stock week worth food folk not work working poor suffer,0,172
"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",could many world population infected end year prayer useless science come rescue happen world not recover year stock food people,0,128
"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",important update ceo brian beaulieu broadened scope covid webinar expect oil price drop stock market development retail sale unfolding situation china italy learn register,2,171
".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",target taking seriously store adding hour staff clean rigorously stopping food sample bolstering order pick drive encouraging employee stay home adding stock limiting item purchase wsyx,2,185
"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",cdc older folk stock food stay home amid business insider wow,2,61
"If 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in USA.

If you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",get infected death rate die usa dont mo mney stock food find fishing hole supply hunt fish,0,90
"Every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. The greed in this country starts with those who've governed us for almost 100 years. FF and FG have made many of us lose our compassion and decency.",every shop chemist retailer sort raise price boycotted greed country start governed u almost year ff fg made many u lose compassion decency,0,139
"No, witch hazel won't help protect you from #coronavirus ...even in a DIY hand sanitizer: https://t.co/DYyShJHRGm @AmeshAA",witch hazel help protect even diy hand sanitizer ameshaa,2,56
"@thehill DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
And blames it all on the consumer. 

#COVID19 #Trumpdemic #coronavirus",thehill donaldtrump lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer,0,102
"@realDonaldTrump .-.
THE BALM OF CORONAVIRUS

#DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..tells us just to stay calm
And blames it all on the consumer. #COVID19 #Trumpdemic #coronaviru",realdonaldtrump balm coronavirus lie rumor never recognized sense humor sell u balm tell u stay calm blame consumer,0,115
Q1 #earnings are expected to be heavily impacted by #coronavirus with steep declines in commodity prices and analysts cutting estimates. @TDhillon33 and @DaveAurelio analyse the data: https://t.co/1uhWfTLx6u #TrustedData #Refinitiv  #COVID19 https://t.co/afvLnL1zIA,q expected heavily impacted steep decline commodity price analyst cutting estimate tdhillon daveaurelio analyse data,0,116
"These are some of the suggestions to slow/stop #COVID2019
1. Work remotely from home 
2. Online school/ lectures
 3.Keep updated on the HSE/Dept of Health website 
4. Order shopping online for delivery ALL  NEED BROADBAND #remoteworking #broadband #rural",suggestion slow stop work remotely home online school lecture keep updated hse dept health website order shopping online delivery need broadband,0,144
Retailers gouging consumer on Clorox spray wipes and sanitizers. What use to be under $5 is now $29 or more Even if itÂs available! Gee bet they make it all in China. ????? #sanitizer #coronavirus,retailer gouging consumer clorox spray wipe sanitizers use even available gee bet make china,1,92
"Stay vigilant, stay safe. As we adapt to COVID-19, know that our office is here for you. We can answer questions about scams, sick time, and fraud.

Consumer Hotline: 617-727-8400
Health Care Hotline: 1-888-830-6277
Fair Labor Hotline: 617-727-3465 https://t.co/GjNWCmtY1U",stay vigilant stay safe adapt covid know office answer question scam sick time fraud consumer hotline health care hotline fair labor hotline,0,140
"Even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans, especially part-time and low wage workers.

Once again, @realDonaldTrump is doing exactly the right thing.",even without suspension elimination quickest sensible mean enhancing consumer liquidity working american especially part time low wage worker realdonaldtrump exactly right thing,0,177
"This is the advice from national US health experts for over 60's on avoiding #coronavirus

""CDC: Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

UK gov: wash your hands &amp; carry on

#Covid_19 

https://t.co/QKolJTOPdr",advice national u health expert avoiding cdc american stock food medication avoid venturing coronavirus spread uk gov wash hand amp carry,0,137
"The awful impacts of the #Coronavirus are continuing to be felt around the world. 
These events in China are also affecting the UK container industry. But what does this mean for you as a consumer, looking to buy #ShippingContainers?
Find out more: https://t.co/ir3YeBoFbS
#MrBox https://t.co/wLHwiAVhIB",awful impact continuing felt around world event china also affecting uk container industry mean consumer looking buy find,0,121
Wash your hands more often for 20 seconds with soap and water. Or use hand sanitiser.,wash hand often second soap water use hand sanitiser,2,52
"Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider https://t.co/A7hsqwQDOe",coronavirus covid oil price drop lead u recession business insider,0,66
"My German colleagues have confirmed that HamsterkÃ¤ufe, as in how a hamster stuffs its cheeks with food, is indeed the German term for panic buying. This is the cute news I need today.
#hamsterkÃ¤ufe #COVID2019 #covid19ireland #Coronavirusireland #panicbuyingireland #panicbuying https://t.co/b5PwFU9tvz",german colleague confirmed hamsterk ufe hamster stuff cheek food indeed german term panic buying cute news need today ufe ireland,0,129
"The government must provide hand sanitizer in all public buildings and transport hubs, as a matter of the utmost urgency.

The state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer. #COVID19ireland #COVID2019 https://t.co/tzyJ2KwJp7",government must provide hand sanitizer public building transport hub matter utmost urgency state must penalize business trying profit crisis rising price essential item like hand sanitizer ireland,2,196
What You Need If Quarantined at Home | #Coronavirus - Consumer Reports https://t.co/fqPmJIBlfd,need quarantined home consumer report,1,37
"See the new @FujifilmX_US X-T4 and X100V at Roberts! Join us on Saturday March 14th at Roberts Downtown location from 10am to 5pm.

Make sure to stop in and register for a FREE mystery giveaway! https://t.co/KUA79uARxv https://t.co/P6etFT5U7f",see new fujifilmx u x x v robert join u saturday march th robert downtown location pm make sure stop register free mystery giveaway,2,131
